Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR1451,Captura de carbono forestal en el Ejido San Juan,Forestry - MX,MX,[],12/19/2023,0,1389,
CAR,CAR1452,Captura de carbono forestal en el Ejido San Mateo,Forestry - MX,MX,[],12/19/2023,0,278,
CAR,CAR1445,Captura de carbono forestal en la Comunidad de Rincón de Guadalupe,Forestry - MX,MX,[],12/19/2023,0,405,
CAR,CAR1447,Captura de carbono forestal en la comunidad de San Miguel Tenextepec,Forestry - MX,MX,[],12/19/2023,0,646,
CAR,CAR1449,Captura de carbono forestal en la comunidad de Santa María y sus Barrios,Forestry - MX,MX,[],12/19/2023,0,3215,
CAR,CAR1375,Carbono Otomí La Florida,Forestry - MX,MX,[],12/19/2023,0,1244,
CAR,CAR1514,Carbono Petcacab,Forestry - MX,MX,[],1/20/2023,0,9093,
CAR,CAR1347,Cima de Togo - ASRTulancingo,Forestry - MX,MX,[],8/6/2021,0,1044,
CAR,CAR785,Dubuque Metropolitan Sanitary Landfill,Landfill Gas Capture/Combustion,US,[],4/1/2024,0,30298,
CAR,CAR1435,Ejido Coatitila,Forestry - MX,MX,[],12/19/2023,0,569,
CAR,CAR1437,Ejido El Agua de Los Pescados y sus Anexos,Forestry - MX,MX,[],12/19/2023,0,336,
CAR,CAR1433,Ejido La Libertad,Forestry - MX,MX,[],12/19/2023,0,1699,
CAR,CAR1499,Ejido Las Vigas,Forestry - MX,MX,[],3/14/2024,0,1265,
CAR,CAR1497,Ejido Salto de Camellones,Forestry - MX,MX,[],12/19/2023,0,17791,
CAR,CAR1434,Ejido San Pedro Buenavista,Forestry - MX,MX,[],12/19/2023,0,676,
CAR,CAR1432,Ejido sierra de Agua,Forestry - MX,MX,[],12/19/2023,0,485,
CAR,CAR1494,Ejido Topia,Forestry - MX,MX,[],12/19/2023,0,2447,
CAR,CAR1356,El Ventorrillo - ASRTulancingo,Forestry - MX,MX,[],8/6/2021,0,242,
CAR,CAR1360,Emiliano Zapata - ASRTulancingo,Forestry - MX,MX,[],8/6/2021,0,259,
CAR,CAR1366,Ixtula y Sembo - ASRTulancingo,Forestry - MX,MX,[],8/6/2021,0,154,
CAR,CAR621,Kimble Sanitary Landfill Gas Project,Landfill Gas Capture/Combustion,US,[],1/31/2024,0,1000,
CAR,CAR1355,La Estancia - ASRTulancingo,Forestry - MX,MX,[],8/6/2021,0,248,
CAR,CAR1354,Las Puentes y Anexos - ASRTulancingo,Forestry - MX,MX,[],8/6/2021,0,753,
CAR,CAR1429,Manglares Ursulo Galvan,Forestry - MX,MX,[],4/25/2024,0,153,
CAR,CAR1425,Medford Spring Grassland Conservation,Avoided Grassland Conversion,US,[],5/31/2022,0,303,
CAR,CAR688,Noles North Avoided Conversion Forest Project,Avoided Conversion,US,[],2/14/2024,0,10,
CAR,CAR802,Noles South Avoided Conversion Forest Project,Avoided Conversion,US,[],4/6/2022,0,1500,
CAR,CAR1537,P. P. El Pelón,Forestry - MX,MX,[],7/3/2023,0,66,
CAR,CAR1535,P. P. La Pinzión,Forestry - MX,MX,[],6/30/2023,0,90,
CAR,CAR1536,P. P. Peña del gato,Forestry - MX,MX,[],6/30/2023,0,101,
CAR,CAR1538,P.P. El águila,Forestry - MX,MX,[],6/30/2023,0,46,
CAR,CAR1540,P.P. Estancia Borrotes,Forestry - MX,MX,[],6/30/2023,0,22,
CAR,CAR1438,Predio Las Piedras,Forestry - MX,MX,[],12/19/2023,0,451,
CAR,CAR1507,Proyecto forestal de carbono del Ejido Xbonil,Forestry - MX,MX,[],12/19/2023,0,9637,
CAR,CAR822,"Rainier Biogas, LLC",Livestock Gas Capture/Combustion,US,[],7/12/2021,0,648,
CAR,CAR1362,San Pedro Huixotitla - ASRTulancingo,Forestry - MX,MX,[],8/9/2023,0,997,
CAR,CAR817,Tangipahoa GHG Project,Landfill Gas Capture/Combustion,US,[],11/22/2021,0,18726,
CAR,CAR768,"Terra Yazoo City  # 9, Nitrous Oxide Abatement Project",Nitric Acid N2O- Secondary Catalyst,US,[],12/4/2020,0,911,
CAR,CAR593,The B6 Dairy Farm BioFactory(R) Project,Livestock Gas Capture/Combustion,US,[],2/24/2021,0,4193,
